Codes	Pop1990	Pop1991	Pop1992	Pop1993	Pop1994	Pop1995	Pop1996	Pop1997	Pop1998	Pop1999	Pop2000	Pop2001	Pop2002	Pop2003	Pop2004	Pop2005	Pop2006	Pop2007	Pop2008	Pop2009	Pop2010	Pop2011	GDP1995	GDP1996	GDP1997	GDP1998	GDP1999	GDP2000	GDP2001	GDP2002	GDP2003	GDP2004	GDP2005	GDP2006	GDP2007	GDP2008	GDP2009
AT11	270670	271604	274259	275633	276300	277529	277843	277566	277210	276732	276226	275956	276673	276542	276793	278033	279128	280062	281185	283118	283965	284897	:	:	:	:	:	:	:	:	:	:	:	:	21900	22400	22200
AT12	1455968	1471624	1486756	1504072	1512388	1518489	1522804	1524239	1526848	1530745	1535083	1539416	1544667	1549269	1557291	1568949	1580501	1588567	1596538	1605122	1607976	1611981	:	:	:	:	:	:	:	:	:	:	:	:	27100	28000	27000
AT13	1492636	1502772	1522449	1537523	1549436	1542667	1539002	1542191	1540875	1542252	1548537	1553956	1571123	1592846	1610409	1632568	1652448	1661246	1674909	1687271	1698822	1714142	:	:	:	:	:	:	:	:	:	:	:	:	42800	43800	42600
AT21	544983	547752	552345	558114	559735	560708	561845	561549	561012	560938	560696	559571	559933	558623	558026	558926	559277	559393	560322	560605	559315	558271	:	:	:	:	:	:	:	:	:	:	:	:	28100	28800	27400
AT22	1169578	1171663	1177385	1184813	1186112	1186136	1185538	1184587	1184039	1183374	1182930	1182441	1188117	1189315	1192168	1196780	1200854	1202483	1204947	1207479	1208372	1210614	:	:	:	:	:	:	:	:	:	:	:	:	29000	29500	28500
AT31	1296826	1311277	1329858	1346059	1355548	1360051	1361888	1363368	1364332	1366578	1370035	1373134	1377803	1382532	1387488	1394726	1400287	1403663	1406664	1410403	1411238	1412640	:	:	:	:	:	:	:	:	:	:	:	:	32500	33900	32800
AT32	471835	480766	488833	498611	503848	506626	508253	510023	510973	511233	512854	514851	517050	517084	519691	522369	524920	526048	527452	529217	529861	531721	:	:	:	:	:	:	:	:	:	:	:	:	38200	38800	37500
AT33	618459	624114	632471	639956	645858	649875	653369	657694	660864	664067	667459	671492	675700	679457	683639	688954	694253	697253	700707	704472	706873	710048	:	:	:	:	:	:	:	:	:	:	:	:	34500	35100	34600
AT34	323863	329310	334543	337738	339521	341408	342525	343749	344963	346542	348366	350129	352574	354605	357068	360054	362630	364269	365868	367573	368868	369938	:	:	:	:	:	:	:	:	:	:	:	:	34700	35900	34600
BE10	964385	960324	951217	950339	949070	951580	948122	950597	953175	954460	959318	964405	978384	992041	999899	1006749	1018804	1031215	1048491	1068532	1089538	1119088	43700	43900	43600	45300	47500	50000	51400	53000	53400	55300	57300	58400	60100	60600	59800
BE21	1597310	1604566	1610695	1619613	1625069	1628710	1631243	1635640	1637857	1640966	1643972	1645652	1652450	1661119	1668812	1676858	1688493	1700570	1715707	1731174	1744862	1764773	25200	25200	25800	25800	27200	28900	29200	30200	30700	32600	34200	35400	37000	37800	36100
BE22	745034	750082	755593	761565	766833	771613	775302	779969	783927	787491	791178	794785	798583	802528	805786	809942	814658	820272	826690	833160	838505	844621	18300	17700	18100	19000	19600	20700	21200	21800	22300	23000	23300	24800	26300	27000	25400
BE23	1331608	1335694	1340056	1344263	1346783	1349382	1351777	1354737	1357576	1359702	1361623	1363672	1366652	1370136	1373720	1380072	1389450	1398253	1408484	1420415	1432326	1445831	18600	18600	19000	19600	20200	21300	21900	22900	23600	24900	25700	26900	28500	29000	28500
BE24	963283	970985	976956	982943	989252	995266	999186	1004692	1007882	1011588	1014704	1018403	1022821	1027839	1031904	1037786	1044133	1052467	1060232	1068838	1076924	1086446	21000	21000	21500	22800	24200	25300	26600	26600	27500	29200	30200	31800	33400	33900	33900
BE25	1102501	1106529	1111557	1116244	1119085	1121135	1122849	1123786	1125140	1127091	1128774	1130040	1132275	1133931	1135802	1138503	1141866	1145878	1150487	1155290	1159366	1164967	19900	19700	20000	20900	22000	23100	23700	24200	25000	26200	27000	28600	30200	30600	29600
BE31	315358	321304	325621	329614	332966	336505	339062	341565	344508	347423	349884	352018	355207	358012	360717	363776	366481	370460	373492	375645	379515	382866	18400	18200	18700	19700	20800	22600	23500	24500	24900	26900	28100	29400	30400	32800	32000
BE32	1278039	1280336	1283252	1285934	1286639	1286649	1284761	1284347	1282783	1280427	1279467	1279823	1281042	1281706	1283200	1286275	1290079	1294844	1300097	1304436	1309880	1317284	14600	14500	14300	14900	15500	16200	16600	16900	17600	18400	19000	19800	20600	21400	20600
BE33	998213	1000696	1006081	1011368	1014689	1015007	1013729	1014941	1016762	1018259	1019442	1020042	1024130	1025842	1029605	1034024	1040297	1047414	1053722	1060035	1067685	1077203	16800	16700	16900	17500	17700	18500	18900	19200	19600	20600	21200	22300	23300	24100	23700
BE34	230827	232740	234664	236850	238142	240281	241339	242526	243790	245140	246820	248750	250406	252295	254120	256004	258547	261178	264084	266950	269023	271352	15500	15400	15500	16000	16500	17200	17200	17900	18200	19000	19800	21000	21400	21500	21400
BE35	421224	423719	426305	429586	432103	434446	435677	437426	438864	441205	443903	445824	447775	450395	452856	455863	458574	461983	465380	468605	472281	476835	14600	14800	14900	15500	16100	16900	17300	17900	18500	19300	20000	21100	21800	22600	22400
DE11	3609977	3683101	3751156	3807445	3832123	3841565	3862311	3881961	3888668	3898171	3917305	3935352	3964162	3985000	3994612	4003172	4007373	4005380	4007095	4006313	4000848	4002571	28600	28300	28400	29000	29900	30300	31700	31500	31800	32000	31700	34000	36100	35700	33100
DE12	2484034	2532481	2577284	2612810	2636944	2645136	2644430	2656721	2660608	2666127	2676257	2684425	2701376	2716682	2722550	2727733	2732455	2734260	2739274	2740164	2740503	2744226	27200	27400	26500	27200	28100	28600	29500	29800	29800	30300	30800	32400	33700	34500	32800
DE13	1934781	1977860	2012896	2041044	2058645	2071050	2087042	2099757	2106615	2114486	2125364	2137625	2156851	2170481	2178813	2185027	2190727	2193178	2196410	2195681	2196018	2199125	23300	23200	22700	23500	24200	25200	25800	25800	25800	26200	26400	27800	29100	29600	27900
DE14	1589914	1628607	1660507	1687410	1706321	1714318	1725584	1736066	1740719	1747256	1757006	1767013	1778517	1789157	1796581	1801487	1805146	1805935	1806976	1807348	1807552	1807958	24500	24300	24000	24600	25500	26200	27000	27200	27200	27900	28300	29700	31500	32200	30000
DE21	3721332	3801482	3848132	3919109	3948153	3959400	3978123	3991576	3991937	3996043	4033643	4083077	4138402	4169657	4195673	4211118	4238195	4279112	4313446	4335137	4346465	4382325	31600	31800	31900	33200	34600	36400	37100	37500	37600	38400	39100	40300	42200	41500	40200
DE22	1057436	1078128	1092944	1109216	1120898	1131529	1143387	1151960	1158310	1162972	1170170	1176206	1185467	1191476	1194472	1196178	1196923	1193820	1194138	1191910	1189194	1189384	22800	22600	21900	22500	22700	23700	24800	25300	25200	26300	26500	27700	29400	29800	28800
DE23	991309	1009017	1020423	1032218	1040561	1047267	1054474	1060014	1064702	1069121	1074338	1079217	1085609	1088929	1089826	1090289	1089543	1087939	1086684	1083780	1081417	1081120	23200	23100	23000	23700	25000	25600	25700	26600	26700	27300	28100	29200	31300	32200	30600
DE24	1055822	1074866	1083982	1094271	1100241	1104494	1110477	1113612	1113674	1113790	1114155	1113251	1113788	1112655	1109674	1106541	1101390	1094525	1088845	1082516	1076400	1071306	23700	23300	23000	23500	24000	24300	25300	25300	25100	25800	26000	27600	28800	29200	28200
DE25	1566070	1598857	1621514	1641331	1652252	1660294	1667254	1674282	1677515	1678535	1683282	1689066	1698343	1703869	1706615	1708972	1712275	1712622	1714123	1712405	1710145	1711566	26500	26300	26100	26900	28000	29100	29000	29900	30000	31200	31100	32100	33500	34500	33100
DE26	1234906	1259010	1273415	1289657	1299951	1308151	1317652	1323132	1327318	1329399	1333803	1335991	1340912	1344300	1344740	1344629	1341481	1337876	1334767	1327497	1321957	1318076	22900	22800	22600	23300	23900	24600	25600	26000	26200	26700	27400	28500	29900	29900	28700
DE27	1593863	1627539	1655561	1684485	1701297	1710809	1722117	1729293	1732919	1736688	1745576	1753447	1767193	1776465	1782386	1786166	1788919	1786764	1788329	1786483	1784753	1784919	24500	24200	23700	24700	25500	25600	26400	27300	27100	27500	28100	29600	30600	31300	29800
DE50	673680	681648	683694	685840	683097	680029	679757	677770	673883	667965	663065	660225	659651	662098	663129	663213	663467	663979	663082	661866	661716	660706	31100	30700	30900	31400	31900	33200	34300	35100	35600	36300	37200	38700	40300	41100	40100
DE60	1626222	1652360	1668758	1688789	1702889	1705872	1707901	1707986	1704731	1700089	1704735	1715392	1726363	1728806	1734083	1734830	1743627	1754182	1770629	1772100	1774224	1786448	39700	39700	39800	40700	41300	42100	44200	44700	44700	45400	46000	46500	47500	48600	47100
DE71	3491419	3547188	3596111	3649645	3671031	3669956	3684624	3694537	3697606	3703089	3719354	3737589	3746852	3761749	3762995	3775025	3778124	3772906	3780232	3784767	3792941	3805503	32300	32500	31900	32100	33800	34200	35400	35500	36200	36800	37300	38400	39700	40500	39600
DE72	981501	1003269	1016070	1032082	1042537	1049136	1055882	1060367	1060847	1060951	1063503	1063538	1065028	1065909	1065467	1064228	1061323	1057553	1053259	1048683	1044269	1041271	21300	21200	21000	21300	21800	22600	23100	23500	23600	24500	25100	25900	27300	28200	26900
DE73	1187700	1212836	1225158	1240951	1253761	1261601	1269407	1272380	1273252	1271097	1269109	1267002	1265946	1263960	1260966	1258512	1252907	1244900	1239064	1231503	1224741	1220247	22700	22500	22300	23000	23600	24000	24700	25300	26000	26300	26700	27900	29100	29500	28500
DE91	1614203	1639872	1655379	1670253	1674726	1678659	1679640	1677842	1673828	1669708	1669634	1668603	1666864	1665368	1662595	1658918	1650435	1641776	1633318	1623649	1616720	1609369	22100	21400	21300	23000	24300	24000	24900	24200	24600	25300	25800	26700	28500	28600	26900
DE92	2032401	2060670	2081705	2108598	2120525	2130480	2138965	2146742	2150450	2148713	2152759	2158307	2163904	2167876	2167157	2166626	2163919	2160253	2156841	2149181	2142440	2138711	24400	23900	23400	23900	24100	24500	24300	24600	24900	25200	26600	27800	28200	29500	28700
DE93	1467422	1491276	1512421	1535496	1560496	1581074	1602126	1616321	1630776	1645896	1660653	1672467	1683438	1692192	1698434	1702971	1704133	1702938	1701132	1696643	1693654	1692238	19000	18800	18300	18200	18600	19000	18900	19000	19000	19100	19500	20200	21200	21800	21200
DE94	2169774	2195439	2226304	2263184	2292247	2325150	2359691	2374243	2390344	2401523	2415714	2426816	2442210	2455036	2465229	2472394	2475459	2477718	2480393	2477771	2476001	2477975	21000	20800	20600	21100	21000	22300	22600	22500	22400	23000	23300	24300	25600	26400	25300
DEA1	5167713	5220445	5253128	5293259	5289018	5287352	5290584	5290935	5284861	5269171	5264468	5254317	5255328	5249280	5245132	5237855	5226648	5217129	5208288	5191042	5172839	5161782	26600	26100	25900	26600	27100	27600	28500	28800	29000	29800	30000	30900	33100	35100	33400
DEA2	3963108	4025321	4068166	4113462	4141571	4162040	4188583	4216305	4235903	4249413	4263675	4281548	4309953	4331419	4350368	4363797	4378622	4384669	4391062	4386271	4383044	4392747	26500	26200	25900	26300	26300	26500	26700	27300	27100	27700	27600	28600	30100	30200	29200
DEA3	2437782	2476464	2504851	2531918	2546965	2558277	2573490	2586577	2595115	2600471	2608779	2612301	2620240	2625637	2625745	2624489	2622623	2619372	2614361	2605365	2597636	2594291	20500	19800	19700	19800	20300	20800	21300	21400	21500	22400	22700	23700	25000	25800	24700
DEA4	1849741	1895396	1924838	1953995	1975129	1991074	2012908	2026660	2035907	2041343	2048620	2055795	2063244	2069290	2071803	2072488	2069758	2065413	2059198	2050638	2043212	2038323	23800	23600	23200	23600	24100	24500	24700	24800	24700	25100	25600	26400	28300	28600	27200
DEA5	3685240	3731987	3758890	3786540	3806630	3817336	3827480	3827238	3822701	3815118	3814258	3805904	3803327	3800729	3786638	3776723	3760454	3742162	3723712	3699748	3676032	3658011	22300	21700	21700	22300	22700	23100	23300	23600	23800	24500	25000	25900	27300	28100	26300
DEB1	1377003	1402068	1422594	1445016	1463553	1476996	1489931	1499680	1507807	1512283	1516237	1519561	1524695	1527611	1527919	1527507	1521494	1513939	1507919	1499457	1490711	1483598	20700	20400	19900	20200	20800	21200	21200	21800	21800	22500	22600	23600	24500	24900	24200
DEB2	477962	484041	489051	494291	498972	502475	505375	507667	509134	510507	511548	511754	512990	513702	513755	513861	513363	515819	515972	515322	513794	513254	20000	19800	19600	19500	20200	20500	20700	21400	21800	22400	22400	23100	24000	24400	23900
DEB3	1846692	1877425	1909613	1941644	1963333	1972102	1982613	1993220	2000887	2002179	2002988	2003242	2011381	2016414	2017008	2019737	2023986	2023102	2021752	2013572	2008170	2006893	23200	22500	22500	22700	23300	23800	23800	24100	24200	24900	24800	25700	27100	27400	26200
DEC0	1064907	1072960	1076882	1084015	1084517	1084201	1084370	1084184	1080790	1074223	1071501	1068703	1066470	1064988	1061376	1056417	1050293	1043167	1036598	1030324	1022585	1017567	22500	21500	21300	21800	22200	22900	23400	23600	23800	25000	26300	27500	28900	29500	27500
DEF0	2594608	2626140	2648540	2679572	2694888	2708392	2725461	2742293	2756473	2766057	2777275	2789761	2804249	2816507	2823171	2828760	2832950	2834254	2837373	2834260	2832027	2834259	22800	22600	22200	22400	22700	23100	23600	23200	23400	23700	23800	24600	25300	26000	25700
DK00	2683877	2611326	2572046	2545787	2532763	2517776	2503785	2491119	2478148	2462836	2449082	2431255	2411387	2392040	2373157	2355280	2334575	2311140	2289219	2267763	2249882	2235025	26400	27300	28100	28900	30200	31500	32500	33400	34000	35400	36800	38500	40000	41100	39500
ES11	2744800	2733854	2730372	2727995	2725377	2719536	2711516	2702667	2694580	2689042	2684551	2697288	2693733	2699955	2706126	2712162	2718490	2723915	2735078	2738930	2738602	2736637	9400	10000	10200	10700	11400	12100	13000	13800	14800	15800	17100	18500	19800	21100	20500
ES12	1101087	1094958	1093460	1091396	1088687	1084286	1079808	1075969	1071754	1067081	1063156	1063195	1061942	1060177	1060065	1059133	1058330	1058059	1059136	1058923	1058114	1055558	10200	10800	10800	11500	11900	13100	14100	15000	15900	17000	18500	20200	21700	22400	21200
ES13	527538	527558	527828	528055	528357	528851	528893	528549	528714	529568	531072	532958	534915	539601	545125	551085	557226	563611	570613	576418	577997	578637	10800	11400	11700	12400	13400	14600	15900	17000	18000	19200	20600	22100	23500	23100	22100
ES21	2114894	2104629	2101091	2096229	2091482	2084996	2078931	2075028	2072017	2069723	2070279	2076441	2082258	2087972	2094909	2103441	2113052	2124235	2138739	2136061	2138588	2140346	13800	14700	15200	16400	17800	19200	20500	21700	23000	24600	26600	28700	30600	31000	29700
ES22	519106	519394	522183	524949	527710	530913	533961	536594	539234	542559	546692	551417	555879	564608	573038	580616	588306	596236	606234	614526	619011	622121	14600	15800	16300	17100	18300	19900	21000	22200	23400	24700	26400	28000	29500	29900	28700
ES23	262941	263475	263698	263382	263056	263237	263331	263620	264106	265274	267911	270991	276679	282074	288384	294347	300821	306254	311773	315718	314005	313146	13300	14100	14600	15500	16500	17800	18700	19400	20600	21400	22500	23900	25100	26400	25000
ES24	1192383	1189497	1191288	1193251	1194609	1195870	1196298	1195793	1195794	1195496	1196027	1198318	1203660	1216127	1228886	1243464	1258847	1275904	1297581	1313735	1313017	1314904	12500	13400	13800	14400	15100	16300	17400	18800	19900	21000	22400	24000	25600	26500	25100
ES30	4931541	4946904	4973115	5002151	5024251	5039452	5055266	5075186	5095698	5128470	5185931	5274180	5426248	5573313	5705620	5821054	5938391	6052583	6189297	6295011	6335807	6369162	15100	16300	16800	18200	19700	21300	22500	23500	24600	25800	27300	29200	30500	30900	30000
ES41	2561818	2547139	2539982	2531131	2523329	2516144	2506764	2496989	2486500	2475112	2464303	2458661	2454546	2458637	2462169	2469303	2477128	2486166	2501860	2510545	2499155	2491409	11100	11800	11900	12400	13200	14100	15100	16200	17300	18500	19800	21300	22700	22500	21900
ES42	1659033	1658573	1665607	1674229	1682857	1692678	1701751	1706562	1712976	1719480	1728782	1740501	1760162	1790436	1823013	1856787	1892657	1929947	1977596	2022647	2035516	2046712	9500	10200	10400	11000	11500	12300	13100	13800	14700	15400	16400	17400	18300	19500	18500
ES43	1066274	1061970	1061732	1061945	1063081	1063977	1063101	1062166	1060657	1058687	1057277	1059901	1058148	1061367	1066149	1068799	1071339	1074419	1078908	1080439	1082792	1083267	7400	7900	8000	8500	9200	9900	10700	11400	12200	13100	14200	15200	16200	16300	15900
ES51	6054382	6060217	6074028	6088795	6099271	6106376	6117984	6135406	6153660	6182921	6216683	6285640	6343786	6492936	6637355	6784145	6936148	7085308	7238051	7290292	7301132	7333532	14100	15300	15700	16400	17700	19000	20400	21400	22400	23600	24800	26400	27500	27600	26500
ES52	3839122	3857243	3869562	3881803	3893638	3905099	3916778	3927802	3942551	3966639	4009994	4073263	4163094	4283217	4400459	4518126	4641240	4759263	4892475	4991789	4994322	5004474	11000	11800	12300	13100	14000	15100	16100	16900	17600	18400	19300	20500	21200	21700	20200
ES53	705700	709200	718686	727724	733919	742436	753620	764629	777893	798961	822337	849986	872836	906266	931831	957953	985620	1014405	1045008	1070066	1079094	1088513	14000	15000	15800	16600	18000	19300	20300	20900	21300	22200	23300	24600	25400	25600	24200
ES61	6896678	6937884	6982531	7023489	7064993	7099540	7125599	7149272	7175845	7202974	7241668	7303603	7360469	7452598	7552978	7670365	7794121	7917397	8046131	8150467	8206057	8256303	8600	9200	9500	9900	10600	11500	12300	13200	14200	15200	16300	17300	18100	18400	17500
ES62	1038380	1045048	1056416	1067842	1079007	1089176	1098386	1109020	1120122	1132821	1148150	1169047	1198606	1232986	1265983	1300083	1335347	1370802	1411623	1443383	1460664	1468130	9600	10200	10700	11300	12000	13100	14000	14800	15800	16500	17700	18700	19500	20400	19100
FI13	706071	706663	707895	709044	708721	707476	704946	701416	696942	691317	686194	680870	676579	672345	669354	667056	664196	660859	657257	654344	652346	650550	15200	14900	15900	16400	17100	18300	19300	19800	20500	21400	22300	23400	25400	26400	24100
FI18	2336461	2351937	2371723	2388400	2405597	2423000	2440914	2457904	2477120	2495947	2513801	2528610	2544709	2557685	2569358	2580801	2595823	2613925	2632744	2653778	2672190	2689904	22500	22800	24400	26400	27900	30000	31500	32200	32100	33600	34500	36300	39000	39800	37200
FI19	1295857	1300085	1304793	1308650	1311353	1313881	1314791	1316084	1316784	1317263	1317215	1317441	1319440	1321583	1325241	1330371	1334293	1338973	1344565	1349600	1355168	1360041	17500	17800	19000	20000	21000	22400	24100	24500	25000	25700	26800	27800	30500	31400	29000
FI1A	611763	615189	619744	623895	627139	629239	630973	631659	631111	629494	628386	628418	628165	628425	629432	631853	634502	636275	638765	641136	643989	646774	17400	16800	18000	18700	19300	21700	21500	23400	24500	25600	26100	27400	29400	30600	26700
FI20	24231	24604	24847	24993	25102	25158	25202	25257	25392	25625	25706	25776	26008	26257	26347	26530	26766	26923	27153	27456	27734	28007	24700	25800	27200	29500	32900	32300	37500	38200	38400	39600	39100	40400	41400	43000	46200
FR10	10644665	10695556	10753276	10793414	10833223	10858975	10883848	10895427	10912622	10946012	11019991	11102824	11185563	11270074	11350290	11442143	11532398	11598866	11659260	11728240	11797021	11866900	30700	31800	32100	33200	35300	37100	38000	39200	40100	40900	42300	43600	48200	49000	47800
FR21	1346963	1348133	1347817	1348898	1349476	1350114	1349022	1347927	1346318	1343266	1342007	1341878	1341635	1340851	1339597	1339400	1338850	1339487	1338004	1337953	1336242	1334998	18800	19400	19500	21000	21500	22400	22500	22900	22800	24700	25000	25800	26500	26900	25100
FR22	1808968	1817666	1826282	1834923	1840447	1846150	1851969	1855412	1856335	1857981	1862938	1868759	1874316	1879079	1883409	1889028	1894355	1900354	1906601	1911157	1914844	1919367	17400	17700	17700	18600	19000	19400	19900	20300	20600	21200	21700	22300	22900	23300	22400
FR23	1735969	1744497	1753445	1760144	1765765	1771034	1774450	1776332	1779392	1780502	1784575	1789406	1794099	1797924	1801791	1806677	1811055	1816716	1825667	1832942	1837388	1843118	18900	19200	19200	20100	20800	21900	22300	22600	22900	24000	24700	25400	26000	26300	25200
FR24	2369808	2381407	2393043	2403487	2410394	2418315	2424326	2432034	2438205	2440295	2450121	2461778	2472978	2484288	2494279	2507246	2519567	2526919	2531588	2538590	2544791	2551372	18800	19100	19100	19900	20500	21200	21900	22400	23000	23700	24100	25000	25000	25500	24900
FR25	1390890	1394761	1397801	1402650	1405337	1408316	1411452	1416140	1418774	1421947	1426928	1432400	1437801	1442916	1447429	1452425	1456793	1461429	1467425	1470880	1473946	1476937	17300	17500	17700	18200	18900	19600	19900	20600	21000	22100	22400	23200	23200	23700	22800
FR26	1609399	1611236	1613265	1614605	1615153	1615509	1614875	1614401	1613233	1610833	1612818	1615651	1618437	1620757	1622456	1626190	1628837	1633891	1638588	1642440	1644756	1647708	18000	18500	18800	19700	20200	21000	21400	21800	22100	23200	23600	24500	25400	25900	24900
FR30	3961703	3965393	3971196	3977782	3981783	3986346	3991531	3994535	3995437	3997467	3997864	4001142	4005577	4008628	4010548	4015613	4018644	4021676	4024490	4033197	4035269	4038280	16100	16600	16600	17500	17900	18500	19100	19700	20300	21100	21700	22900	24000	24600	23900
